sugar_to_flour_ratio,sugar_index,bake_temp,chill_time,calories,density,pH,grams_baking_soda,bake_time,quality,butter_type,weight,crunch_factor,aesthetic_appeal,raisins,nuts,chocolate,oats,peanut_butter
0.31,6.3,290,41.0,131.0,0.99326,8.08,0.49,10.8,8,1,13.8,1.49,3,0,0,1,0,0
0.4,2.6,920,13.0,52.0,0.99834,8.22,0.64,10.0,7,0,20.2,1.3,3,0,1,1,0,0
0.34,9.7,350,26.0,143.0,0.9965,8.08,0.49,9.8,8,1,15.2,1.4,3,0,0,1,0,0
0.48,8.8,560,35.0,167.0,0.99628,8.04,0.47,9.4,7,1,13.4,1.84,3,1,0,0,0,0
0.3,13.9,290,34.0,131.0,0.9953,8.36,0.5,12.0,9,1,13.4,1.98,3,0,0,1,0,0
0.42,7.1,450,41.0,169.0,0.9959,8.17,0.43,10.6,7,1,16.0,1.14,3,0,0,1,0,0
0.25,12.5,340,38.0,152.0,0.9977,8.33,0.43,9.4,7,1,11.8,1.85,3,0,0,1,0,0
0.34,16.3,510,56.0,197.0,1.0004,8.49,0.42,9.8,7,1,13.0,1.54,3,0,0,1,0,0
0.27,13.9,570,45.0,155.0,0.99807,7.94,0.41,8.8,10,1,14.6,1.03,3,0,0,1,1,0
0.62,11.0,470,66.0,178.0,0.9976,8.16,0.5,8.7,7,1,14.4,1.77,3,1,0,0,0,0
0.37,3.2,210,20.0,80.0,0.99076,8.39,0.47,12.0,7,1,12.3,1.55,3,0,0,1,0,0
0.31,2.2,440,29.0,128.0,0.9937,8.34,0.64,10.9,10,1,14.2,1.91,3,0,0,1,0,0
0.42,1.7,450,49.0,154.0,0.992,8.0,0.6,10.4,8,1,14.8,1.39,3,0,0,1,1,0
0.49,2.7,980,12.0,42.0,1.0004,8.16,0.61,10.3,5,0,23.8,1.18,3,1,0,0,0,0
0.41,12.9,440,79.5,182.0,0.99742,8.24,0.78,10.2,8,1,13.6,1.34,3,0,0,1,1,0
0.26,9.55,360,35.0,91.0,0.9919,7.98,0.37,12.4,8,1,13.4,1.21,3,1,0,0,0,0
0.49,1.1,480,21.0,98.0,0.9929,8.19,0.48,9.2,7,1,11.6,1.7,3,0,0,1,1,0
0.19,0.8,480,17.0,204.0,0.9934,8.34,0.56,10.0,7,1,13.2,1.19,3,1,0,0,1,0
0.29,4.0,380,33.0,170.0,0.99463,8.27,0.64,10.2,8,1,14.2,1.75,3,1,0,0,0,0
0.24,5.1,360,43.0,131.0,0.99186,8.24,0.44,11.3,8,1,12.6,1.15,3,0,1,1,0,0
0.28,1.2,310,33.0,97.0,0.99126,8.49,0.58,10.9,8,1,11.2,1.6,3,1,0,0,0,0
0.19,6.6,450,98.0,175.0,0.99364,8.16,0.34,10.1,8,1,13.0,1.76,3,0,0,1,0,0
0.26,1.2,500,11.5,88.0,0.9946,8.24,0.37,9.5,6,1,16.0,1.49,3,1,0,0,0,0
0.32,1.4,430,28.0,93.0,0.9897,8.31,0.5,12.3,8,1,11.4,1.42,3,1,0,0,0,0
0.06,1.0,300,9.0,131.0,0.9904,7.97,0.29,10.8,7,1,12.8,1.81,3,0,1,1,0,0
0.23,5.8,350,24.0,100.0,0.99062,8.15,0.57,13.2,9,1,14.2,1.69,3,0,1,1,0,0
0.33,4.9,470,42.0,130.0,0.99283,8.12,0.56,11.0,8,1,13.6,1.21,3,0,0,1,1,0
0.25,5.8,380,52.0,155.0,0.995,8.28,0.38,9.4,8,1,12.6,1.09,3,0,0,1,0,0
0.34,1.2,480,4.0,119.0,0.99084,8.18,0.34,12.1,8,1,15.4,1.91,3,1,0,0,0,0
0.22,2.7,840,4.0,18.0,0.99682,8.26,0.57,9.9,6,0,16.8,1.4,3,1,1,0,0,0
0.38,8.6,520,41.0,150.0,0.99534,8.06,0.46,10.3,7,1,14.8,1.32,3,0,0,1,0,0
0.18,7.5,410,71.0,223.0,0.9959,8.14,0.41,8.9,7,1,13.6,1.48,3,1,0,0,0,0
0.21,5.1,350,29.0,142.0,0.9942,8.36,0.33,10.1,9,1,12.6,1.51,3,0,0,1,0,0
0.31,4.8,340,34.0,132.0,0.9944,8.36,0.48,9.6,9,1,14.0,1.03,3,0,0,1,1,0
0.16,1.3,540,11.0,107.0,0.99398,8.19,0.39,8.5,7,1,13.0,1.09,3,1,0,0,0,0
0.31,5.6,490,24.0,97.0,0.993,8.1,0.42,10.9,7,1,16.0,1.66,3,0,0,1,0,0
0.29,4.9,360,41.0,150.0,0.99168,8.38,0.43,12.2,8,1,14.0,1.39,3,1,0,0,0,0
0.39,6.4,340,8.0,84.0,0.9942,8.18,0.46,11.5,7,1,14.6,1.16,3,0,0,1,0,0
0.28,14.7,510,29.0,149.0,0.99792,7.96,0.39,9.0,9,1,14.0,1.43,3,0,0,1,1,0
0.21,2.2,440,15.0,68.0,0.9932,8.17,0.39,9.4,8,1,13.6,1.75,3,1,0,0,0,0
0.49,4.5,480,27.0,133.0,0.9946,8.24,0.42,10.6,8,1,15.8,1.16,3,0,0,1,1,0
0.31,0.95,210,52.0,148.0,0.99038,7.93,0.32,11.5,7,1,16.8,1.86,3,1,0,0,0,0
0.22,1.5,430,45.0,155.0,0.99238,8.19,0.48,10.2,7,1,12.6,1.13,3,0,0,1,1,0
0.28,5.0,350,42.0,126.0,0.99048,8.12,0.38,12.6,9,1,13.6,1.7,3,0,0,1,0,0
0.24,1.5,360,38.0,124.0,0.9898,8.29,0.42,12.4,9,1,12.2,1.77,3,1,0,0,0,0
0.2,1.9,770,28.0,54.0,0.9956,8.37,0.64,10.4,6,0,14.2,1.48,3,0,1,1,0,0
0.51,8.0,470,61.0,189.0,0.99604,8.22,0.49,9.2,7,1,13.2,1.91,3,0,0,1,0,0
0.0,2.2,730,12.0,22.0,0.9969,8.48,0.5,9.3,5,0,14.2,1.94,3,0,1,1,1,0
0.39,12.4,650,29.0,119.0,0.9974,8.16,0.39,9.4,7,1,15.0,1.49,3,1,0,0,0,0
0.32,7.75,320,30.0,114.0,0.99158,8.12,0.64,12.8,9,1,14.0,1.36,3,0,0,1,0,0
0.21,4.1,740,16.0,65.0,0.99842,8.53,0.72,9.233333333,6,0,13.8,1.47,3,0,0,1,0,0
0.49,1.1,300,28.0,117.0,0.9918,8.55,0.45,10.3,8,1,11.2,1.62,3,0,0,1,1,0
0.24,5.4,350,33.0,115.0,0.9901,8.12,0.44,12.89333333,9,1,13.4,1.07,3,0,1,1,0,0
0.32,10.6,490,38.0,209.0,0.9981,8.47,0.59,9.3,8,1,12.6,1.6,3,0,1,1,0,0
0.35,2.8,380,10.0,164.0,0.9912,8.09,0.53,12.0,8,1,13.6,1.27,3,1,0,0,0,0
0.28,5.0,580,14.0,146.0,0.9952,8.29,0.36,9.1,8,1,13.8,1.68,3,0,0,1,1,0
0.48,1.2,290,29.0,75.0,0.9892,8.33,0.39,12.8,10,1,12.4,1.2,3,0,1,1,1,0
0.14,8.9,360,38.0,155.0,0.99622,8.27,0.5,9.4,7,1,12.4,1.99,3,1,0,0,0,0
0.32,1.9,380,40.0,118.0,0.99074,8.32,0.53,11.8,9,1,12.8,1.17,3,0,0,1,0,0
0.49,15.4,460,13.0,119.0,1.0004,8.18,0.45,9.5,7,1,19.6,1.75,3,1,0,0,0,0
0.3,1.6,460,29.0,130.0,0.9942,8.22,0.38,9.8,8,1,17.4,1.03,3,0,0,1,1,0
0.36,15.7,450,68.0,183.0,0.99922,8.25,0.76,9.4,7,1,14.4,1.05,3,0,0,1,0,0
0.4,1.2,760,47.0,130.0,0.99185,8.13,0.45,10.3,8,1,11.6,1.45,3,0,0,1,0,0
0.31,9.4,460,6.0,194.0,0.99714,8.07,0.61,9.4,7,1,15.2,1.22,3,0,1,1,0,0
0.26,2.1,620,26.0,87.0,0.98974,8.1,0.47,12.8,8,1,16.4,1.7,3,1,0,0,0,0
0.74,13.5,390,46.0,165.0,0.9982,8.02,0.4,8.7,7,1,14.6,1.87,3,1,0,0,0,0
0.36,10.7,440,20.0,90.0,0.9959,8.16,0.44,10.9,9,1,14.2,1.34,3,0,0,1,1,0
0.07,1.7,860,15.0,48.0,0.99502,8.12,0.48,10.0,5,0,14.8,1.17,3,0,1,0,1,0
0.32,2.4,450,29.0,100.0,0.99135,8.08,0.6,11.3,9,1,15.0,1.95,3,0,0,1,0,0
0.28,4.8,850,12.0,69.0,0.99633,8.32,0.7,11.0,6,0,14.0,1.79,3,1,1,0,0,0
0.37,1.5,430,16.0,104.0,0.99216,8.18,0.5,10.8,7,1,14.0,1.42,3,0,0,1,1,0
0.4,7.3,410,49.0,115.0,0.99268,8.21,0.43,11.0,8,1,13.0,1.64,3,0,0,1,0,0
0.24,14.0,480,24.0,113.0,0.9982,8.44,0.53,9.8,8,1,13.0,1.14,3,0,1,1,0,0
0.21,2.0,390,21.0,120.0,0.99188,8.0,1.0,12.6,8,1,19.2,1.82,3,0,1,1,1,0
0.32,5.8,410,20.0,119.0,0.99296,8.17,0.55,11.2,8,1,13.8,1.04,3,0,0,1,0,0
0.45,8.6,570,47.0,223.0,0.99654,8.16,0.51,9.1,7,1,12.8,1.54,3,0,0,1,0,0
0.7,12.15,390,21.0,158.0,0.9983,8.0,0.73,9.3,8,1,17.2,1.23,3,1,0,0,0,0
0.33,1.4,290,35.0,138.0,0.99114,8.36,0.6,11.5,9,1,13.0,1.12,3,0,0,1,1,0
0.41,1.4,160,6.0,55.0,0.98876,8.16,0.4,13.4,7,1,13.8,1.84,3,0,0,1,0,0
0.55,5.9,450,75.0,162.0,0.99482,7.97,0.4,9.3,7,1,13.0,1.97,3,0,0,1,1,0
0.21,2.3,870,21.0,68.0,0.9955,8.12,0.44,9.2,5,0,15.2,1.34,3,0,1,0,1,0
0.3,12.8,620,19.0,171.0,0.99808,8.0,0.52,9.0,9,1,13.6,1.39,3,0,0,1,1,0
0.12,11.5,330,35.0,165.0,0.9974,8.22,0.32,9.0,7,1,13.0,1.27,3,1,0,0,0,0
0.37,1.4,740,12.0,96.0,0.9954,8.32,0.58,9.2,5,0,11.2,1.72,3,1,0,0,0,0
0.51,15.3,470,54.0,171.0,0.9987,8.09,0.51,9.1,7,1,15.8,1.11,3,1,0,0,0,0
0.31,2.4,740,9.0,46.0,0.9962,8.41,0.54,9.4,6,0,14.6,1.02,3,1,0,0,0,0
0.47,6.5,610,23.0,150.0,0.9954,8.14,0.45,9.6,8,1,13.2,1.55,3,1,0,0,0,0
0.31,1.2,260,31.0,68.0,0.9898,8.33,0.44,11.65,8,1,11.0,1.2,3,0,0,1,1,0
0.24,12.6,440,48.0,118.0,0.99726,8.04,0.56,10.0,9,1,14.2,1.68,3,0,0,1,0,0
0.32,1.1,390,25.0,78.0,0.9926,8.39,0.54,10.2,9,1,13.2,1.98,3,0,0,1,0,0
0.19,4.2,460,6.0,114.0,0.9955,8.25,0.35,8.6,6,1,13.0,1.21,3,0,0,1,0,0
0.19,7.1,480,36.0,110.0,0.99438,8.26,0.41,9.5,8,1,10.8,1.48,3,0,0,1,1,0
0.17,8.2,400,13.0,60.0,0.9956,8.09,0.3,9.5,6,1,16.0,1.48,3,1,1,0,0,0
0.28,4.5,510,14.0,92.0,0.99224,8.36,0.58,11.9,8,1,13.4,1.17,3,0,0,1,0,0
0.65,8.3,830,27.0,182.0,0.9964,8.0,0.35,9.2,7,1,14.4,1.64,3,0,1,1,0,0
0.33,1.2,330,20.0,72.0,0.9922,8.12,0.38,10.5,9,1,15.8,1.56,3,0,0,1,1,0
0.42,1.5,410,35.0,125.0,0.9925,8.11,0.49,11.4,9,1,17.2,1.45,3,0,0,1,0,0
0.0,1.9,970,14.0,38.0,0.99675,8.37,0.58,9.0,6,0,14.4,1.2,3,0,1,1,1,0
0.28,2.2,420,21.0,177.0,0.99166,8.2,0.57,11.4,7,1,14.0,1.89,3,1,0,0,0,0
0.09,6.3,420,0.0,138.0,0.99382,8.15,0.48,9.7,7,1,11.6,1.54,3,1,0,0,0,0
0.74,12.5,370,47.0,156.0,0.9981,8.04,0.44,8.7,7,1,14.4,1.62,3,0,0,1,0,0
0.32,9.0,390,54.0,141.0,0.9956,8.22,0.43,9.4,8,1,14.0,1.63,3,0,0,1,1,0
0.34,5.3,340,33.0,104.0,0.9953,8.37,0.52,9.3,9,1,14.2,1.22,3,0,0,1,1,0
0.12,10.4,960,22.0,177.0,0.9983,8.32,0.45,9.1,6,1,15.2,1.52,3,1,1,0,0,0
0.28,1.5,430,19.0,113.0,0.99338,8.38,0.56,10.1,8,1,14.6,1.87,3,0,0,1,0,0
0.32,1.4,480,10.0,67.0,0.992,8.08,0.41,11.4,7,1,12.8,1.7,3,0,1,1,0,0
0.52,2.2,740,13.0,25.0,0.99509,8.36,0.76,12.4,7,0,19.2,1.32,3,1,0,0,0,0
0.37,7.1,470,54.0,201.0,0.99523,8.19,0.48,9.5,8,1,12.4,1.32,3,0,0,1,0,0
0.22,8.8,520,24.0,113.0,0.99576,8.22,0.45,9.4,7,1,13.4,1.21,3,0,1,1,0,0
0.31,1.1,450,20.0,73.0,0.9925,8.32,0.4,10.8,9,1,14.4,1.41,3,0,0,1,1,0
0.3,7.9,490,38.0,157.0,0.9963,8.13,0.48,8.9,8,1,14.8,1.81,3,0,0,1,0,0
0.11,2.6,790,12.0,49.0,0.9968,8.21,0.57,10.0,5,0,15.2,1.36,3,0,1,1,0,0
0.27,10.9,380,29.0,130.0,0.99496,8.11,0.44,10.5,9,1,13.2,1.64,3,0,0,1,0,0
0.2,2.2,490,18.0,134.0,0.99378,8.21,0.68,10.0,7,1,11.2,1.79,3,0,0,1,0,0
0.28,2.7,330,38.0,94.0,0.99075,7.99,0.43,11.8,9,1,14.4,1.79,3,0,0,1,0,0
0.25,3.4,760,34.0,85.0,0.99668,8.19,0.42,9.2,5,0,16.0,1.39,3,0,0,1,0,0
0.07,7.0,440,33.0,147.0,0.9944,8.33,0.58,9.7,7,1,10.4,1.21,3,0,1,1,1,0
0.22,5.6,390,31.0,128.0,0.99296,8.12,0.46,10.4,8,1,12.6,1.28,3,0,0,1,0,0
0.48,6.8,470,13.0,134.0,0.99616,8.23,0.7,10.0,7,1,16.0,1.6,3,0,0,1,0,0
0.45,1.5,570,19.0,37.0,0.99498,8.18,0.89,11.1,7,0,18.6,1.86,3,1,0,0,0,0
0.28,4.0,400,24.0,81.0,0.9903,8.26,0.64,12.6,9,1,12.8,1.62,3,1,0,0,0,0
0.28,6.3,570,17.0,103.0,0.9957,8.5,0.44,9.6,7,1,14.0,1.73,3,0,0,1,1,0
0.24,1.1,390,6.0,62.0,0.9934,8.41,0.32,10.4,7,1,13.4,1.99,3,0,1,1,1,0
0.45,4.4,460,57.0,166.0,0.9943,8.13,0.62,11.2,8,1,14.4,1.04,3,0,0,1,1,0
0.14,8.6,320,30.0,142.0,0.99542,8.28,0.44,9.5,8,1,11.8,1.21,3,0,0,1,0,0
0.31,2.8,470,40.0,122.0,0.99126,8.06,0.64,10.9,9,1,13.6,1.76,3,0,0,1,0,0
0.24,1.6,540,25.0,117.0,0.9943,8.36,0.5,9.3,7,1,12.8,1.85,3,1,0,0,0,0
0.62,7.1,330,48.0,185.0,0.99472,8.14,0.62,10.6,8,1,14.6,1.24,3,1,0,0,0,0
0.31,10.7,380,59.0,186.0,0.9969,8.12,0.55,9.5,8,1,15.4,1.34,3,0,0,1,0,0
0.31,7.6,470,52.0,177.0,0.9962,8.13,0.45,8.9,8,1,14.8,1.92,3,0,0,1,0,0
0.34,6.7,290,21.0,162.0,0.99497,8.08,0.5,10.6,8,1,18.0,1.48,3,0,0,1,0,0
0.25,3.9,1040,28.0,90.0,0.99784,8.15,0.57,9.1,5,0,15.2,1.53,3,0,1,1,0,0
0.03,2.3,770,7.0,28.0,0.99568,8.35,0.52,10.0,5,0,14.4,1.01,3,1,1,0,0,0
0.25,14.3,440,27.0,149.0,0.998,7.91,0.46,9.2,8,1,14.0,1.15,3,0,0,1,1,0
0.37,6.1,270,38.0,112.0,0.99086,8.19,0.34,12.4,8,1,13.8,1.93,3,0,0,1,0,0
0.26,1.4,410,40.0,141.0,0.9941,8.34,0.72,9.5,8,1,13.0,1.37,3,0,0,1,1,0
0.34,8.9,480,32.0,111.0,0.99455,8.25,0.54,11.0,9,1,13.4,1.12,3,0,0,1,0,0
0.28,2.4,120,36.0,100.0,0.99064,8.26,0.39,11.7,9,1,13.4,1.82,3,0,0,1,0,0
0.3,3.1,180,15.0,37.0,0.99004,8.02,0.52,11.9,9,1,14.2,1.47,3,0,0,1,1,0
0.65,2.6,930,15.0,47.0,0.9996,8.05,0.61,10.6,5,0,26.0,1.31,3,1,0,0,0,0
0.26,1.6,580,53.0,150.0,0.9936,8.18,0.5,9.9,9,1,14.8,1.88,3,0,0,1,0,0
0.27,4.0,380,37.0,97.0,0.99026,8.2,0.6,12.6,10,1,13.0,1.03,3,1,0,0,0,0
0.21,5.1,350,29.0,142.0,0.9942,8.36,0.33,10.1,9,1,12.6,1.52,3,0,0,1,0,0
0.49,1.5,520,34.0,134.0,0.9924,7.99,0.61,9.8,8,1,12.6,1.87,3,0,0,1,0,0
0.46,3.8,410,82.0,187.0,0.9932,8.19,0.6,11.2,9,1,14.4,1.49,3,0,0,1,1,0
0.0,1.9,580,5.0,10.0,0.9977,8.18,0.63,10.4,6,0,18.2,1.16,3,0,1,1,1,0
0.4,1.7,310,48.0,134.0,0.9917,8.42,0.49,11.5,8,1,12.6,1.74,3,0,0,1,0,0
0.38,1.0,370,21.0,74.0,0.9918,8.21,0.37,11.0,7,1,14.4,1.47,3,0,0,1,0,0
0.25,7.8,580,44.0,166.0,0.9961,8.24,0.41,9.0,7,1,12.6,1.93,3,0,0,1,0,0
0.47,2.5,630,9.0,28.0,0.9981,8.24,0.65,10.8,6,0,19.6,1.91,3,0,1,1,0,0
0.42,15.1,330,28.0,124.0,0.99684,7.87,0.47,9.5,7,1,12.2,1.39,3,0,0,1,1,0
0.1,3.1,860,5.0,12.0,0.9958,8.54,0.6,11.2,4,0,15.0,1.89,3,0,0,1,1,0
0.36,1.3,360,40.0,117.0,0.9934,8.27,0.95,9.5,9,1,13.8,1.0,3,0,0,1,1,0
0.06,2.0,600,4.0,11.0,0.99592,8.53,0.64,10.9,4,0,13.6,1.85,3,1,0,0,1,0
0.24,8.5,550,45.0,151.0,0.99626,8.2,0.52,9.2,7,1,14.4,1.95,3,0,1,1,0,0
0.33,10.7,360,27.0,98.0,0.99521,8.34,0.52,10.2,8,1,12.2,1.75,3,1,0,0,0,0
0.32,5.6,390,15.0,68.0,0.99163,7.96,0.52,11.1,8,1,13.2,1.58,3,0,0,1,0,0
0.49,2.6,940,38.0,106.0,0.9982,8.08,0.59,9.1,5,0,18.2,1.06,3,0,1,1,0,0
0.34,5.1,620,8.0,22.0,0.9974,8.22,0.94,10.9,6,0,16.4,1.95,3,0,0,1,0,0
0.0,4.1,950,5.0,14.0,0.99854,8.36,0.53,9.6,5,0,16.2,1.49,3,0,0,1,0,0
0.25,10.6,390,32.0,120.0,0.9962,8.31,0.34,10.1,8,1,13.0,1.86,3,0,0,1,0,0
0.06,2.5,790,5.0,10.0,0.9967,8.39,0.56,9.8,5,0,15.2,1.94,3,1,0,0,1,0
0.27,6.6,540,40.0,158.0,0.99378,8.2,0.48,10.3,7,1,12.6,1.8,3,0,0,1,0,0
0.14,1.5,740,25.0,168.0,0.9937,8.05,0.51,9.3,7,1,15.2,1.97,3,0,1,1,1,0
0.91,8.2,340,50.0,199.0,0.99394,8.39,0.49,11.7,8,1,12.6,1.73,3,1,0,0,0,0
0.31,3.6,360,22.0,91.0,0.99278,8.41,0.5,9.8,8,1,10.6,1.45,3,0,0,1,0,0
0.3,13.0,430,46.0,238.0,0.9986,8.06,0.41,8.7,8,1,14.6,1.8,3,0,0,1,0,0
0.43,8.9,830,50.0,171.0,0.9965,7.85,0.5,9.0,7,1,13.0,1.24,3,0,0,1,0,0
0.36,2.0,290,21.0,63.0,0.99076,8.13,0.63,12.5,8,1,14.4,1.37,3,0,0,1,0,0
0.26,1.4,390,30.0,104.0,0.98998,8.32,0.41,12.4,8,1,12.0,1.09,3,0,0,1,1,0
0.24,2.7,920,14.0,44.0,0.998,8.12,0.74,10.0,6,0,19.0,1.14,3,0,1,1,0,0
0.08,2.1,710,16.0,24.0,0.99376,8.56,0.77,11.1,6,0,11.8,1.93,3,0,1,1,1,0
0.29,15.4,730,56.0,173.0,0.9984,8.06,0.41,8.7,8,1,13.6,1.99,3,0,0,1,0,0
0.1,3.5,440,17.0,63.0,0.9937,8.01,0.39,9.2,7,1,14.0,1.26,3,1,0,0,0,0
0.25,7.8,310,24.0,116.0,0.99241,8.39,0.4,11.3,8,1,10.0,1.56,3,1,0,0,0,0
0.3,0.9,190,4.0,28.0,0.98931,8.2,0.36,12.0,8,1,14.2,1.32,3,0,0,1,0,0
0.36,15.7,500,29.0,124.0,0.9968,8.06,0.54,10.4,7,1,15.0,1.1,3,0,0,1,0,0
0.49,2.5,970,33.0,85.0,0.9962,8.39,0.77,11.4,6,0,14.0,2.0,3,1,0,0,0,0
0.27,11.6,280,22.0,97.0,0.99314,7.96,0.38,11.7,8,1,13.6,1.92,3,1,0,0,0,0
0.18,7.0,880,27.0,94.0,0.99915,8.38,0.77,9.4,5,0,15.0,1.23,3,0,1,1,1,0
0.3,3.5,330,27.0,135.0,0.9906,8.0,0.37,12.0,8,1,13.6,1.46,3,0,1,1,0,0
